Source      ,Target       ,category        ,Weight
PA327       ,PA446180     ,ASSOCIATED_WITH ,     1
PA327       ,PA444101     ,ASSOCIATED_WITH ,     1
PA327       ,DOID:4398    ,ASSOCIATED_WITH ,     1
PA327       ,PA445601     ,ASSOCIATED_WITH ,     1
PA327       ,PA445742     ,ASSOCIATED_WITH ,     1
PA327       ,PA446366     ,ASSOCIATED_WITH ,     1
PA327       ,PA445379     ,ASSOCIATED_WITH ,     1
PA327       ,PA444840     ,ASSOCIATED_WITH ,     1
PA327       ,PA443430     ,ASSOCIATED_WITH ,     1
PA327       ,PA446477     ,ASSOCIATED_WITH ,     1
PA327       ,PA444352     ,ASSOCIATED_WITH ,     1
PA327       ,PA445272     ,ASSOCIATED_WITH ,     1
PA327       ,PA444750     ,ASSOCIATED_WITH ,     1
PA327       ,PA445451     ,ASSOCIATED_WITH ,     1
PA327       ,PA446304     ,ASSOCIATED_WITH ,     1
PA327       ,PA445724     ,ASSOCIATED_WITH ,     1
PA327       ,PA443560     ,ASSOCIATED_WITH ,     1
PA327       ,PA445828     ,ASSOCIATED_WITH ,     1
PA327       ,PA443433     ,ASSOCIATED_WITH ,     1
PA327       ,PA443434     ,ASSOCIATED_WITH ,     1
PA327       ,PA444845     ,ASSOCIATED_WITH ,     1
PA327       ,PA444760     ,ASSOCIATED_WITH ,     1
PA327       ,PA445594     ,ASSOCIATED_WITH ,     1
PA327       ,PA443750     ,ASSOCIATED_WITH ,     1
PA327       ,DOID:3683    ,ASSOCIATED_WITH ,     1
PA327       ,PA160680212  ,ASSOCIATED_WITH ,     1
PA327       ,DOID:0080639 ,ASSOCIATED_WITH ,     1
PA327       ,PA445010     ,ASSOCIATED_WITH ,     1
PA128       ,PA444816     ,ASSOCIATED_WITH ,     1
PA128       ,DOID:4964    ,ASSOCIATED_WITH ,     2
PA128       ,DOID:302     ,ASSOCIATED_WITH ,     1
PA128       ,PA152530886  ,ASSOCIATED_WITH ,     1
PA128       ,DOID:11257   ,ASSOCIATED_WITH ,     1
PA128       ,DOID:14320   ,ASSOCIATED_WITH ,     1
PA128       ,PA447196     ,ASSOCIATED_WITH ,     2
PA128       ,PA447212     ,ASSOCIATED_WITH ,     1
PA128       ,PA447211     ,ASSOCIATED_WITH ,     1
PA128       ,PA444771     ,ASSOCIATED_WITH ,     1
PA128       ,DOID:2055    ,ASSOCIATED_WITH ,     1
PA34896     ,PA445735     ,ASSOCIATED_WITH ,     1
PA34896     ,DOID:4964    ,ASSOCIATED_WITH ,     1
PA34896     ,PA443450     ,ASSOCIATED_WITH ,     1
PA145       ,DOID:5520    ,ASSOCIATED_WITH ,    15
PA145       ,PA445503     ,ASSOCIATED_WITH ,    15
PA145       ,DOID:4908    ,ASSOCIATED_WITH ,    15
PA145       ,DOID:4907    ,ASSOCIATED_WITH ,     1
PA145       ,DOID:9903    ,ASSOCIATED_WITH ,    15
PA145       ,DOID:4074    ,ASSOCIATED_WITH ,    15
PA145       ,DOID:2513    ,ASSOCIATED_WITH ,    15
PA145       ,DOID:5525    ,ASSOCIATED_WITH ,    15
PA145       ,DOID:3717    ,ASSOCIATED_WITH ,    15
PA145       ,DOID:0050865 ,ASSOCIATED_WITH ,    15
PA145       ,DOID:0050922 ,ASSOCIATED_WITH ,    15
PA145       ,DOID:4897    ,ASSOCIATED_WITH ,     1
PA145       ,PA445218     ,ASSOCIATED_WITH ,    15
PA145       ,DOID:234     ,ASSOCIATED_WITH ,    15
PA145       ,PA445742     ,ASSOCIATED_WITH ,    15
PA145       ,PA444352     ,ASSOCIATED_WITH ,    15
PA145       ,DOID:10020   ,ASSOCIATED_WITH ,     1
PA145       ,PA443408     ,ASSOCIATED_WITH ,     1
PA145       ,PA444675     ,ASSOCIATED_WITH ,    15
PA145       ,DOID:2781    ,ASSOCIATED_WITH ,     1
PA145       ,PA445683     ,ASSOCIATED_WITH ,    15
PA145       ,DOID:5672    ,ASSOCIATED_WITH ,     1
PA145       ,DOID:8866    ,ASSOCIATED_WITH ,    15
PA145       ,PA443560     ,ASSOCIATED_WITH ,    15
PA145       ,DOID:1996    ,ASSOCIATED_WITH ,    15
PA145       ,PA443756     ,ASSOCIATED_WITH ,    15
PA145       ,DOID:235     ,ASSOCIATED_WITH ,    15
PA124       ,PA446414     ,ASSOCIATED_WITH ,     1
PA124       ,DOID:0050136 ,ASSOCIATED_WITH ,     1
PA124       ,PA444250     ,ASSOCIATED_WITH ,     2
PA124       ,DOID:1936    ,ASSOCIATED_WITH ,     1
PA124       ,DOID:224     ,ASSOCIATED_WITH ,     1
PA124       ,PA445355     ,ASSOCIATED_WITH ,     1
PA124       ,PA443670     ,ASSOCIATED_WITH ,     1
PA124       ,DOID:76      ,ASSOCIATED_WITH ,     1
PA124       ,DOID:750     ,ASSOCIATED_WITH ,     1
PA124       ,PA443945     ,ASSOCIATED_WITH ,     1
PA124       ,PA444368     ,ASSOCIATED_WITH ,     1
PA124       ,DOID:0050782 ,ASSOCIATED_WITH ,     1
PA124       ,PA443444     ,ASSOCIATED_WITH ,     1
PA124       ,PA443425     ,ASSOCIATED_WITH ,     1
PA124       ,DOID:13146   ,ASSOCIATED_WITH ,     1
PA124       ,PA443364     ,ASSOCIATED_WITH ,     1
PA124       ,DOID:12642   ,ASSOCIATED_WITH ,     1
PA124       ,PA443597     ,ASSOCIATED_WITH ,     1
PA124       ,PA445850     ,ASSOCIATED_WITH ,     1
PA124       ,DOID:9408    ,ASSOCIATED_WITH ,     1
PA124       ,DOID:0050289 ,ASSOCIATED_WITH ,     1
PA124       ,DOID:8534    ,ASSOCIATED_WITH ,     2
PA124       ,PA443459     ,ASSOCIATED_WITH ,     1
PA124       ,PA444104     ,ASSOCIATED_WITH ,     2
PA124       ,DOID:10808   ,ASSOCIATED_WITH ,     1
PA124       ,DOID:4964    ,ASSOCIATED_WITH ,     1
PA124       ,PA444814     ,ASSOCIATED_WITH ,     1
PA356       ,PA446169     ,ASSOCIATED_WITH ,     1
PA166049147 ,DOID:10843   ,ASSOCIATED_WITH ,     1
PA166049147 ,PA165108380  ,ASSOCIATED_WITH ,     1
PA166049147 ,PA444435     ,ASSOCIATED_WITH ,     1
PA166049147 ,PA444437     ,ASSOCIATED_WITH ,     1
PA166049147 ,PA445378     ,ASSOCIATED_WITH ,     1
PA166049147 ,DOID:0050197 ,ASSOCIATED_WITH ,     1
PA166049147 ,PA165108855  ,ASSOCIATED_WITH ,     1
PA166049147 ,DOID:4411    ,ASSOCIATED_WITH ,     1
PA166049147 ,DOID:0050194 ,ASSOCIATED_WITH ,     1
PA166049147 ,PA444445     ,ASSOCIATED_WITH ,     1
PA166049147 ,PA165108230  ,ASSOCIATED_WITH ,     1
PA166049147 ,DOID:1273    ,ASSOCIATED_WITH ,     1
PA166049147 ,PA445845     ,ASSOCIATED_WITH ,     1
PA166049147 ,DOID:13801   ,ASSOCIATED_WITH ,     1
PA166049147 ,DOID:0050195 ,ASSOCIATED_WITH ,     1
PA166049147 ,PA445015     ,ASSOCIATED_WITH ,     1
PA166049147 ,DOID:10841   ,ASSOCIATED_WITH ,     1
