Source,Target,Type,Category
PA448422,PA451249,Dirigé,interacts with
PA449646,PA449389,Dirigé,interacts with
00682,DOID:224,Dirigé,treats
00682,DOID:3875,Dirigé,treats
00682,PA444379,Dirigé,treats
00682,PA449957,Dirigé,interacts with
PA448948,PA448964,Dirigé,interacts with
00682,PA445850,Dirigé,treats
00682,PA443459,Dirigé,treats
PA450464,PA447197,Dirigé,treats
PA451457,PA448519,Dirigé,interacts with
PA449646,PA164754755,Dirigé,interacts with
PA451457,PA450965,Dirigé,interacts with
PA450464,PA450903,Dirigé,interacts with
PA449646,PA450386,Dirigé,interacts with
PA449673,DOID:3324,Dirigé,treats
PA450464,DOID:0050432,Dirigé,treats
PA449646,PA451107,Dirigé,interacts with
PA450464,DOID:4964,Dirigé,treats
PA449673,PA450903,Dirigé,interacts with
PA449673,DOID:150,Dirigé,treats
PA449673,DOID:12129,Dirigé,treats
PA449673,PA447196,Dirigé,treats
PA449673,PA152530886,Dirigé,treats
PA449673,DOID:0050432,Dirigé,treats
PA449673,DOID:4964,Dirigé,treats
PA449673,PA447212,Dirigé,treats
PA449673,PA447211,Dirigé,treats
PA451209,PA448519,Dirigé,interacts with
PA450464,PA444549,Dirigé,treats
PA449673,DOID:2055,Dirigé,treats
00682,PA444368,Dirigé,treats
00682,PA445465,Dirigé,treats
PA451209,PA450965,Dirigé,interacts with
PA448486,PA449493,Dirigé,interacts with
PA448948,PA164742986,Dirigé,interacts with
PA451107,PA449493,Dirigé,interacts with
PA451107,PA443796,Dirigé,treats
PA449646,PA164742986,Dirigé,interacts with
PA451107,DOID:1168,Dirigé,treats
PA451107,PA443425,Dirigé,treats
PA448486,PA446180,Dirigé,treats
PA448964,PA448948,Dirigé,interacts with
PA164742986,PA448948,Dirigé,interacts with
PA448948,PA153619853,Dirigé,interacts with
PA449646,PA153619853,Dirigé,interacts with
PA450705,PA448486,Dirigé,interacts with
PA449015,PA448486,Dirigé,interacts with
PA450464,PA450101,Dirigé,interacts with
PA449673,PA450101,Dirigé,interacts with
PA448948,PA449015,Dirigé,interacts with
PA450850,PA449015,Dirigé,interacts with
PA449646,PA449015,Dirigé,interacts with
PA451108,PA449015,Dirigé,interacts with
PA450705,PA451666,Dirigé,interacts with
PA451108,PA153619853,Dirigé,interacts with
PA153619853,PA449072,Dirigé,interacts with
PA449015,PA449072,Dirigé,interacts with
PA153619853,PA449028,Dirigé,interacts with
PA448948,PA450705,Dirigé,interacts with
PA449646,PA450705,Dirigé,interacts with
PA449015,PA449028,Dirigé,interacts with
PA450603,DOID:4964,Dirigé,treats
PA451566,PA450101,Dirigé,interacts with
PA451566,PA445818,Dirigé,treats
PA450603,DOID:2055,Dirigé,treats
PA451566,DOID:6364,Dirigé,treats
PA451566,PA444949,Dirigé,treats
PA450603,DOID:1596,Dirigé,treats
PA449015,PA451666,Dirigé,interacts with
PA450705,PA449072,Dirigé,interacts with
PA448964,PA448498,Dirigé,interacts with
PA451566,PA447004,Dirigé,treats
14750,PA450101,Dirigé,interacts with
PA134688071,PA447197,Dirigé,treats
